,1,2,3,4,5,6
Travel Costs,0,0,0,0,0,0
Entertainment,0,721.3913043,67,0,4530,124
Marketing Costs,3104.92739,4869.973913,8450.630711,4098.9,5692,195.6
Group Marketing Costs,7145.91501,7543.695652,12847.67593,9277.201153,6097.616667,15314.38
Rental Costs,910.5459,1168.4,583.4222074,1479.509088,1601.02,1315.554261
Subscriptions,295.54084,271.9951391,463.3504,1414.759641,270.2579867,725.4994886
Insurance,1593.95898,1386.051287,3013.059644,1151.4,1151.4,6168.06
Repairs And Maintenance,801.29993,97.2031913,0,725.7941176,2222.33,2721.097143
Utilities,1575.33068,2325.656704,1801.682133,993.9442176,1142.325283,468.3863357
Stationery,1843.47981,246.0978261,18.18222222,2344.407882,199.31933,185.1299829
Admin Costs,9090.13416,7111.158617,9507.730496,13536.76974,14448.00394,20325.61737
IT Costs,0,0,210,0,0,0
Fines And Penalties,0,0,0,0,0,0
Auditors Remuneration,1875,1630.434783,1388.888889,1102.941176,4039,4039
Directors Fees,0,0,0,0,0,0
Consultancy Fees,323.14872,1500,973.7037037,43.44117647,2076.986667,0
Telephones,33.78588,58.0160087,65.10811852,0,241.43297,20.08442143
Cellphones,230.72379,289.2606348,290.7814815,230.9147059,119.435,67.85714286
Internet,1388.7445,123.1894261,3006.964089,1655.543353,56.32175667,498.6124543
Courier,0,114,322,0,0,0
Fuel,1089.182657,0,1096.962533,1104.79798,1112.689394,1120.637175
Motor Vehicle Maintenance Costs,1791.491672,0,485,588.48,2489.837527,592.6834286
Bank Charges,0,0,0,0,0,0
Zimnat Grp Shared Costs Recovery Exp,0,0,0,0,0,0
Masawara Mgt Fee,12447,12629.96571,12571.16467,11139.19,10690.4,8129.35
