,b2b_disbursements,sme_disbursements,consumer_ssb_disbursements,consumer_pvt_disbursements,total
2023-01,57011.05,360000.0,48000.0,60000.0,537011.05
2023-02,27480.25,432000.0,60000.0,75000.0,609480.25
2023-03,27480.25,480000.0,72000.0,108000.0,723480.25
2023-04,34900.0,360000.0,80000.0,120000.0,634900.0
2023-05,66173.0,324000.0,96000.0,144000.0,678173.0
2023-06,18709.25,378000.0,96000.0,162000.0,720709.25
2023-07,40650.0,420000.0,112000.0,189000.0,838650.0
2023-08,8680.0,595000.0,120000.0,202500.0,1008680.0
2023-09,65000.0,700000.0,120000.0,225000.0,1215000.0
2023-10,70000.0,990000.0,120000.0,225000.0,1510000.0
2023-11,10000.0,1125000.0,120000.0,225000.0,1585000.0
2023-12,10000.0,1125000.0,120000.0,225000.0,1585000.0
